Title,Album,Artist,Duration,Index
Vibes and Stuff,The Low End Theory,A Tribe Called Quest,257000,107
We Dance Alone,The Information,Beck,236902,55
We Used To Be Friends,Welcome To The Monkey House,The Dandy Warhols,199000,23
Where&#39;s Your Head At,Rooty,Basement Jaxx,285000,99
White Wedding,Billy Idol,Billy Idol,251290,67
Wonderful Night (Radio Edit;; Explicit),Wonderful Night (Parental Advisory),Fatboy Slim,166000,62
Word Up,Word Up,Cameo,260000,80
Words,Spring Session M.,Missing Persons,267000,75
You Sexy Thing,Hot Chocolate,Hot Chocolate,244000,78
You&#39;ll Find A Way,Santogold,Santigold,180000,16
