Title,Album,Artist,Duration,Index
Friday,"Beatz &amp; Pieces, Vol. 1",Gramatik,202000,275
Fuckin With My Head (Mountain Dew Rock),Mellow Gold,Beck,220194,129
Fucking Boyfriend,The Bird And The Bee,The Bird &amp; The Bee,195239,153
Funky Bar 100,Beyond Good &amp; Evil,Christophe Heral,162500,260
Futuristic Casket,Eyelid Movies,Phantogram,217000,169
Fyah Fyah,Selah Sue,Selah Sue,244000,171
Gamma Ray,Modern Guilt,Beck,176000,281
Get A Move On!,Keep It Unreal,Mr. Scruff,205000,109
Get Around To It,Out Of The Woods,Tracey Thorn,360000,94
Get Lucky (Radio Edit) (feat. Pharrell Williams &amp; Nile Rodgers),Get Lucky,Daft Punk,248000,66
Get Up ... Carmen,Ballroom Stories,Waldeck,243000,356
Ghosts,Velocifero,Ladytron,282000,68
Ghostwriter,Deadringer: Deluxe,RJD2,317000,234
Girls Just Want To Have Fun  ,She&#39;s So Unusual,Cyndi Lauper,236444,350
Girls and Boys (7&quot; Mix),Blur: The Best Of,Blur,259000,177
Go It Alone,Guero,Beck,248840,123
God (2015 Remaster),Under The Pink (Remastered),Tori Amos,235000,290
Gold Rush,270 Stories,Belleruche,233000,419
Golden Touch (Full Length),Up All Night,Razorlight,205000,413
Goldrush (Instrumental),Session 1,The Herbaliser,340000,311
Good Is Me (EP Version),Instant 0 In The Universe,Stereolab,324000,412
Good Times Roll,The Cars,The Cars,224000,246
Groove Holmes,Check Your Head,Beastie Boys,152646,110
Groovin&#39;,Mushroom Jazz 6,Kero One,205818,328
Hag,Last Splash,The Breeders,175006,204
Happiness,Seventh Tree,Goldfrapp,255000,276
Have Love Will Travel,Thickfreakness,The Black Keys,184000,415
Haze Of Love,Motorcade Of Generosity,Cake,187096,223
Head Over Heels,Talk Show,The Go-Go&#39;s,217000,294
Heads Will Roll,It&#39;s Blitz!,Yeah Yeah Yeahs,221000,10
Heart It Races (Cover Version),Heart It Races,Dr Dog,233000,391
Heart Of Glass,Parallel Lines,Blondie,206076,175
Heaven Knows I&#39;m Miserable Now (2008 Remaster),The Sound of the Smiths (Deluxe) [2008 Remaster],The Smiths,216000,401
Hell Yes,Guero,Beck,197928,122
Help I&#39;m Alive,Fantasies,Metric,285000,327
Hey Lion,Soft Animals,Sofi Tukker,209000,219
Hip Hug Her,The Best Of Booker T. &amp; the MG,Booker T. &amp; the MGs,147172,187
How Soon Is Now? (2011 Remaster),Hatful of Hollow,The Smiths,408000,373
How You Like Me Now,The House That Dirt Built,The Heavy,217000,18
Human Behaviour,Debut,Bjork,252000,282
Humankind,My Favourite Letters,Alice Russell,281000,140
Hysteric,It&#39;s Blitz!,Yeah Yeah Yeahs,230000,111
I Can&#39;t Go for That (No Can Do) (Remastered),The Very Best Of Daryl Hall &amp; John Oates,Daryl Hall &amp; John Oates,309000,163
I Go To Your House,Ego War,Audio Bullys,214700,71
I Hate Camera,The Bird And The Bee,The Bird &amp; The Bee,184555,155
I Just Wanna Get Along,Last Splash,The Breeders,104332,201
I Turn My Camera On,Gimme Fiction (Deluxe Edition),Spoon,212000,141
I Want You,Inside In / Inside Out,The Kooks,207000,393
I Will Survive,Fashion Nugget,Cake,310332,226
I&#39;ll Fly Away,"O Brother, Where Art Thou?",Alison Krauss and Gillian Welch,236834,63
I&#39;m A Lady (feat. Trouble Andrew),Santogold,Santigold,223000,62
"I&#39;m Good, I&#39;m Gone",Youth Novels,Lykke Li,189000,143
I&#39;m Like A Bird,"Whoa, Nelly!",Nelly Furtado,243000,386
I&#39;m Not Part of Me,Here and Nowhere Else,Cloud Nothings,275000,9
I&#39;ve Been Thinking (feat. Cat Power),White People,Handsome Boy Modeling School,324000,362
If I Ever Feel Better,United,Phoenix,266000,390
If You Love Somebody Set Them Free,The Dream Of The Blue Turtles,Sting,256000,331
In Between Days,Staring At The Sea: The Singles,The Cure,175916,344
Inner Meet Me,The Three E.P.&#39;s,The Beta Band,380081,148
Intermittently,Maybe You Should Drive,Barenaked Ladies,185546,93
Invisible Man,Last Splash,The Breeders,167570,192
Iron Man,First Band On The Moon,Cardigans,259707,239
