Title,Album,Artist,Duration,Index
If I Ever Feel Better,United,Phoenix,266000,231
In My House,Only Four You,Mary Jane Girls,302000,139
In the Meantime,Resident Alien,Spacehog,299000,73
Island In The Sun,Weezer (Green Album),Weezer,200000,246
It’s All Good,Superorganism,Superorganism,203000,177
Joining A Fan Club,Too Cool For School Mixtape For Kids,Puffy Ami Yumi,238000,48
Jumping Someone Else&#39;s Train,Staring At The Sea: The Singles,The Cure,174928,193
Just What I Needed,The Cars,The Cars,225645,121
Just like Heaven (2006 Remaster),Kiss Me Kiss Me Kiss Me,The Cure,212000,222
Kate,Whatever And Ever Amen,Ben Folds Five,193199,85
Kimi No Tonari,Kimi No Tonari,halca,279000,179
Knock That Door,Lost Marbles and Exploded Evidence,Enon,173000,9
Know Your Chicken,Viva! La Woman,Cibo Matto,260000,129
Kung Fu,1977,Ash,136838,53
La Negra Celina,Loteria de la Cumbia Lounge,Charanga Cakewalk,270712,123
Le Freak,C&#39;est Chic,Chic,258830,124
Let My Love Open The Door,Empty Glass,Pete Townshend,164000,145
Let&#39;s Dance,Let&#39;s Dance,David Bowie,248950,271
Little Daffodil Gas Parade,Interstate &#39;76 Soundtrack,Bullmark,40508,108
Little Wonder,Earthling,David Bowie,362080,273
Locked Out of Heaven,Unorthodox Jukebox,Bruno Mars,233000,98
Looking For Satellites,Earthling,David Bowie,320911,274
Loser,Mellow Gold,Beck,235023,4
Love You Madly,Comfort Eagle,Cake,236756,120
Lovergirl,Greatest Hits,Teena Marie,290000,180
Mad About You,The Magnificent Tree,Hooverphonic,223000,211
"Mahna, Mahna",B-Sides And Rarities,CAKE,174000,167
Mama Said Knock You Out,Mama Said Knock You Out,LL Cool J,289000,242
Mammago&#39;s Garage,Beyond Good &amp; Evil,Christophe Heral,156546,127
Man,Please Clap Your Hands,The Bird And The Bee,183000,32
Mandinka,Lion and the Cobra,Sinéad O&#39;Connor,227000,115
Mayor Of Simpleton,Oranges &amp; Lemons,XTC,238106,62
Mexican Radio,Guilty Pleasures,Wall Of Voodoo,250000,170
Moar Jive,"Beatz &amp; Pieces, Vol. 1",Gramatik,218000,161
Modern Industry,Fishbone,Fishbone,265000,156
Modern Love,Let&#39;s Dance,David Bowie,237978,272
Mr. Maker,Konk,The Kooks,180000,258
Music Takes Me Up (feat. Alice Russell),Ninja Tuna,Mr Scruff,328000,171
My Moon My Man,The Reminder,Feist,228000,235
Naive,Naïve,The Kooks,203000,255
Nâo Posso Demorar feat. Katia B,Bossa Nova Is Not A Crime,The Juju Orchestra,388000,175
New Years,Citrus,Asobi Seksu,181000,261
New in Town,Hands,Little Boots,199000,87
Nobody Really Cares If You Don&#39;t Go to the Party,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,166000,166
Not Fair,"It&#39;s Not Me, It&#39;s You",Lily Allen,201000,35
Not So Blue,Apricot Morning,Quantic,306000,216
Nth Degree,Morningwood,Morningwood,235000,5
Nugget,Fashion Nugget,Cake,237224,117
Oh! You Pretty Things (2015 Remaster),Hunky Dory (2015 Remastered Version),David Bowie,194000,233
Ordinary World,DDR Max Soundtrack,Aurora,90324,55
Outskirts Of Novigrad,Witcher 3 OST,Percival &amp; Marcin Przybyłowicz,364173,189
P.Y.T. (Pretty Young Thing),Thriller,Michael Jackson,239000,88
Pentagram,Motorcade Of Generosity,Cake,139152,114
Printemps,Cœur de pirate,Cœur de pirate,124000,163
Private Idaho,Wild Planet,The B-52&#39;s,216396,63
"Promises, Promises",Burning Bridges,Naked Eyes,268000,220
Pump It Up,This Year&#39;s Model,Elvis Costello &amp; The Attractions,196000,135
Pussy,Brazilian Girls,Brazilian Girls,248000,103
Qué Onda Guero,Guero,Beck,209317,81
Rawnald Gregory Erickson the Second,STRFKR,STRFKR,173000,204
Rebel Rebel,Diamond Dogs,David Bowie,272558,270
Robot Rock,Human After All,Daft Punk,287000,61
Rock Lobster,The B-52s,The B-52&#39;s,293072,59
Rock The Casbah,Combat Rock,The Clash,222430,130
Rocket,Bestoisu!!!!,POLYSICS,176000,260
Rush,The Globe,Big Audio Dynamite II,257000,94
Santa Fe,The Rip Tide,Beirut,254000,201
Save It for Later,Special Beat Service,The English Beat,213941,79
Save Me,Finally Woken,Jem,213000,227
Second Song,Nine Types Of Light,TV On The Radio,260000,28
Seether,American Thighs,Veruca Salt,196000,107
Senses Working Overtime,English Settlement,XTC,290000,33
Sexy Socialite,Over Your Shoulder,Chromeo,378000,7
"Short Skirt, Long Jacket",Comfort Eagle,Cake,203216,119
Smile,"Alright, Still",Lily Allen,196000,259
Something For Your M.I.N.D.,Superorganism,Superorganism,165000,148
Something Good Can Work,Tourist History,Two Door Cinema Club,164000,217
Song 2 (2012 Remaster),Blur,Blur,121000,230
Soul Killing,Sounds From Nowheresville,The Ting Tings,196000,49
Spin The Bottle,Become What You Are,The Juliana Hatfield Three,143000,143
Stiff Jazz,Gran Riserva,dZihan &amp; Kamien,353436,86
Stopwatch Hearts (feat. Emily Haines),Rarities &amp; B-Sides,Delerium,251000,224
Stormy Weather,Konk,The Kooks,241000,251
Strobe Light,Wild Planet,The B-52&#39;s,240376,65
Stutter,Elastica,Elastica,142000,15
Suffragette City,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,206076,269
Sunday Morning,Songs About Jane,Maroon 5,244000,248
Superfly,Superfly,Curtis Mayfield,233000,197
Supernova,Whip-Smart,Liz Phair,168000,199
Sure Shot,Ill Communication,Beastie Boys,199575,76
"Sweet and Tender Hooligan (John Peel Session, 12/2/86)",Louder Than Bombs,The Smiths,216000,223
Take A Chance On Me,The Album,ABBA,243955,38
Take On Me  ,Hunting High And Low,A-Ha,225108,37
Take Your Time (Do It Right),S.O.S.,The S.O.S Band,460000,268
Tangerine Speedo,Caviar,Caviar,219740,122
Technologic (Radio Edit),Technologic,Daft Punk,166000,263
Tenderness,All The Rage,General Public,218000,142
That&#39;s Not My Name,We Started Nothing,The Ting Tings,310593,27
That&#39;s What You Get,Riot!,Paramore,220000,247
The Fear,"It&#39;s Not Me, It&#39;s You",Lily Allen,207000,34
The Girl Got Hot,Raditude,Weezer,194000,241
The Globe,Planet Bad Greatest Hits,Big Audio Dynamite,226000,183
The Joker,Palookaville (Parental Advisory),Fatboy Slim,321000,24
The Love Cats,Staring At The Sea: The Singles,The Cure,220447,194
The Moonbounce,Koop Islands,Koop,166000,16
The Prawn Song,Superorganism,Superorganism,195000,147
