Title,Album,Artist,Duration,Index
Moar Jive,"Beatz &amp; Pieces, Vol. 1",Gramatik,218000,120
Modern Industry,Fishbone,Fishbone,265000,116
Mother Mother,The Burdens Of Being Upright,Tracy Bonham,180000,97
Mr. Maker,Konk,The Kooks,180000,196
Music Takes Me Up (feat. Alice Russell),Ninja Tuna,Mr Scruff,328000,128
My Moon My Man,The Reminder,Feist,228000,176
Naive,Naïve,The Kooks,203000,191
Nancy Boy,Placebo,Placebo,210000,153
Nâo Posso Demorar feat. Katia B,Bossa Nova Is Not A Crime,The Juju Orchestra,388000,132
New Years,Citrus,Asobi Seksu,181000,198
No Meaning No,The WIRED CD,Chuck D with Fine Arts Militia,191958,81
Nobody Really Cares If You Don&#39;t Go to the Party,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,166000,122
Nth Degree,Morningwood,Morningwood,235000,46
Oh! You Pretty Things (2015 Remaster),Hunky Dory (2015 Remastered Version),David Bowie,194000,175
Only Shallow,Loveless,My Bloody Valentine,257000,154
P.Y.T. (Pretty Young Thing),Thriller,Michael Jackson,239000,13
Portorose in July,"Beatz &amp; Pieces, Vol. 1",Gramatik,271000,119
Primary,Staring At The Sea: The Singles,The Cure,214812,145
Pump It Up,This Year&#39;s Model,Elvis Costello &amp; The Attractions,196000,91
Pump Up The Jam,Pump Up the Jam: The Album,Technotronic,321620,136
Pussy,Brazilian Girls,Brazilian Girls,248000,27
Rawnald Gregory Erickson the Second,STRFKR,STRFKR,173000,156
Rock The Casbah,Combat Rock,The Clash,222430,86
Rub &#39;Till It Bleeds,Rid Of Me,PJ Harvey,303000,93
Rush,The Globe,Big Audio Dynamite II,257000,23
SPRORGNSM,Superorganism,Superorganism,200000,107
Salute Your Solution,Salute Your Solution,The Raconteurs,179000,2
Samba De Orpheus,Jazz Impressions Of Black Orpheus (Limited Edition),Vince Guaraldi Trio,339000,121
Santa Fe,The Rip Tide,Beirut,254000,151
Second Song,Nine Types Of Light,TV On The Radio,260000,37
Seether,American Thighs,Veruca Salt,196000,61
She Bop,She&#39;s So Unusual,Cyndi Lauper,227812,201
"Short Skirt, Long Jacket",Comfort Eagle,Cake,203216,70
Should I Stay or Should I Go,Combat Rock,The Clash,189000,177
