Title,Album,Artist,Duration,Index
An Announcement to Answer,An Announcement to Answer,Quantic,293000,1739
An Ode To No One,Mellon Collie And The Infinite Sadness: Dawn To Dusk,Smashing Pumpkins,289666,891
Ana Ng,Lincoln,They Might Be Giants,203000,2454
Ana Ng,Lincoln,They Might Be Giants,203023,1119
Anais,Cachaito,Orlando Lopez,221910,371
Ancient Chinese Secrets,Beyond Good &amp; Evil,Christophe Heral,179218,115
And She Was,Little Creatures,Talking Heads,219000,1461
Angel Gifts,Katamari Fortissimo Damacy,Namco,308854,2207
Animal Rights,4x4=12,deadmau5,375000,1483
Animals,Black Sands,Bonobo,403208,102
Anna (El Negro Zumbon),Hang On Little Tomato,Pink Martini,155792,1111
Anna (El Negro Zumbon),Donna Del Fiume,Silvana Mangano,154486,839
Annanas,Suzuki,Tosca,394445,480
Anorexic Freaks,Kinky,Kinky,219414,1523
Another Body Murdered,Judgment Night,Faith No More &amp; Boo-Yaa T.R.I.B.E.,264212,132
Another Free Day,Chewing Lessons de España,Barefoot Gravediggers,190112,1459
Another Generation,Fishbone,Fishbone,243000,1950
Another One Bites the Dust,The Game,Queen,215900,935
Ants Marching,Under The Table And Dreaming,Dave Matthews Band,269958,864
Any How,Newcomer,Llorca,340000,1543
Anyway,Angel Milk,Telepopmusik,159146,1159
Anywayz,Breath From Another,Esthero,234473,22
Anywhere I Lay My Head,Rain Dogs,Tom Waits,166322,1695
Apache,On The Floor At The Boutique,Fatboy Slim,166114,1705
Appels + Oranjes,Adore,Smashing Pumpkins,219060,1691
Apple,Viva! La Woman,Cibo Matto,240396,2018
Arco Arena,Comfort Eagle,Cake,90948,2082
Are You Gonna Be My Girl (Album Version),Are You Gonna Be My Girl,Jet,215900,376
Around The World,Homework,Daft Punk,429000,2178
Arrastao,Here Comes Tomorrow,Ursula 1000,216000,2254
As I Bleed,Rochester Sessions,Number Nine,276822,2323
Ask,Louder Than Bombs,The Smiths,198163,377
At Your Best,The Overture &amp; The Underscore,Sarah Blasko,215000,1257
Atom Bomb,Risotto,Fluke,345000,1615
Auf Achse,Franz Ferdinand,Franz Ferdinand,258622,1566
Ava Adore,Adore,Smashing Pumpkins,270913,288
Awadama Fever,METAL RESISTANCE,BABYMETAL,253000,2278
Away From Home,Kollected Works,Klark Kent,177112,1073
Awoo (feat. Betta Lemme),Soft Animals,Sofi Tukker,196000,2112
Ay Ay Ay,Lost &amp; Found,Dzihan &amp; Kamien,403026,2445
Águas de Março (Joga Bossa Mix),Flying Away,Smoke City,200902,310
B Line,Fear of Fours,Lamb,166790,534
BALD,Hey Judy,Cowpokes,164632,1361
Babe I&#39;m Gonna Leave You,Led Zeppelin,Led Zeppelin,402778,1314
Baby Blue,Love In The Time Of Science,Emiliana Torrini,244036,506
Baby Love Child,Made In USA,Pizzicato Five,211380,282
Baby You&#39;re A Rich Man,Magical Mystery Tour,The Beatles,182962,761
Back On The Chain Gang (2009 Remastered),The Best Of The Pretenders,The Pretenders,232102,1853
Back Porch,The Presidents of The United States of America,The Presidents Of The United States Of America,180243,1167
Back To The Earth,When I Woke,Rusted Root,327180,1166
Backwoods,The Uplift Mofo Party Plan,Red Hot Chili Peppers,187226,559
Bad Connection,Upstairs At Eric&#39;s,Yaz,201000,2458
Bad Mouth,13 Songs,Fugazi,155000,1600
Bad Reputation,Shrek Soundtrack,Halfcocked,140582,1636
Bad Stone,Vegas,The Crystal Method,308126,382
"Bad, Wicked World",Teenager Of The Year,Frank Black,117468,825
Ball And Biscuit,Elephant,The White Stripes,436982,976
Ball And Chain,Social Distortion,Social Distortion,343089,1514
Ball and Chain,Upsy Daisy Assortment,XTC,269620,30
Ballet for a Rainy Day,Skylarking,XTC,172770,1631
Bang On!,Decksandrumsandrockandroll,Propellerheads,344865,2320
Barely Legal,Is This It,The Strokes,234708,290
Barracuda,Little Queen,Heart,262867,1513
Basique,Mickey Mouse Operation,Little People,218000,1258
Basmati (Featuring Daniela),Gran Riserva,dZihan &amp; Kamien &amp; Daniela,331467,2170
Basmati,Gran Riserva,dZihan &amp; Kamien,328000,2447
Bathwater,Return Of Saturn,No Doubt,242806,1969
Battle For Britain (the Letter),Earthling,David Bowie,288990,86
Battle Of Life(Gramatik 2012 Remix),Dinner With The Beatz Vol. 1 - 2012 Re-Edits,JK Soul,238000,1607
Battle of Who Could Care Less,Whatever And Ever Amen,Ben Folds Five,195707,111
Battleship,Freaky Styley,Red Hot Chili Peppers,113230,1737
Be the One,We Started Nothing,The Ting Tings,176481,2331
Beat It,Thriller,Michael Jackson,257270,1978
Beat the Time,Shooting Rubberbands at the Stars,Edie Brickell &amp; New Bohemians,178493,2291
Beautiful Day Without You,The Understanding,Röyksopp,327652,366
Beautiful People,When I Woke,Rusted Root,250773,1901
Beautiful World,New Traditionalists,Devo,214620,751
Because I Got It Like That,On The Floor At The Boutique,Fatboy Slim,189228,1179
Because I&#39;m Awesome,Because I&#39;m Awesome,The Dollyrots,200000,2413
Beds Are Burning (2007 Remastered),Diesel And Dust,Midnight Oil,255684,1403
Beef Jerky,Viva! La Woman,Cibo Matto,148400,78
Been Caught Stealing,Ritual De Lo Habitual,Jane&#39;s Addiction,214280,1802
Been Caught Stealing,Ritual De Lo Habitual,Jane&#39;s Addiction,214000,1801
Beercan,Mellow Gold,Beck,239304,1038
Before Or Since,Deadringer: Deluxe,RJD2,201000,2087
Before There Was Color,Wiser,Halou,266708,372
Begin The Begin,Life&#39;s Rich Pageant,R.E.M.,208117,692
Believe,The Sun And The Moon,The Bravery,226000,1509
Believe,Run Lola Run,Franka Potente,293358,1109
Belleville Rendez-Vous (French Version),The Triplets of Belleville,Ben Charest,189982,770
Belleza,Loteria de la Cumbia Lounge,Charanga Cakewalk,273832,403
"Best Friend (feat. NERVO, The Knocks &amp; Alisa Ueno)",Treehouse,Sofi Tukker,184000,1765
Best of Me,Diamonds &amp; Studs,Morningwood,181000,2402
Better Than Nothing,Cockamamie,Jennifer Trynin,227000,1704
Big Apple,Mental Floss for the Globe,Urban Dance Squad,209222,36
Big Black Mariah,Rain Dogs,Tom Waits,163306,1963
Big Love,Tango In The Night,Fleetwood Mac,217854,2011
Big Me,Foo Fighters,Foo Fighters,132857,712
Big Shot,I Just Can&#39;t Stop It,The English Beat,152057,336
Big Time,So,Peter Gabriel,268216,2123
Bigger Hole To Fill,The Black And White Album,The Hives,217000,1355
Bigger?,Decksandrumsandrockandroll,Propellerheads,140406,1553
Bigmouth Strikes Again,The Queen Is Dead,The Smiths,193330,1274
Billie Jean,Thriller,Michael Jackson,294005,1552
Billy&#39;s Revenge,Now And Zen,Robert Plant,214358,570
Bingo Bango (Radio Mix),The Singles,Basement Jaxx,227000,2009
Bird Dream of the Olympus Mons,Trompe Le Monde,Pixies,167544,862
Birds And The Bees,The Bird And The Bee,The Bird &amp; The Bee,229485,58
Birth In Reverse,St. Vincent,St. Vincent,195000,1580
Birthday Cake,Viva! La Woman,Cibo Matto,194688,1079
Birthday,Life&#39;s Too Good,Sugarcubes,239566,765
Bittersweet Faith,The Mating Game,Bitter:Sweet,259000,1507
Black Hole Sun,Superunknown,Soundgarden,318586,735
Black Math,Elephant,The White Stripes,183066,1816
Black Moon Spell,Black Moon Spell,King Tuff,293000,1997
Black Mountain Side,Led Zeppelin,Led Zeppelin,132597,748
Black Sands,Black Sands,Bonobo,406978,397
Black Tambourine,Guero,Beck,166189,57
Blackbyrds&#39; Theme,The Big Takedown,Cadillac Jones,236000,1577
Blackeyed Blonde,Freaky Styley,Red Hot Chili Peppers,160134,1720
Blanket Me In You (Never Is So Soon),Wikked Lil&#39; Grrrls,Esthero,298558,2286
Blessed Day,Chewing Lessons de España,Barefoot Gravediggers,144534,2311
"Blips, Drips And Strips",Cobra And Phases Group Play Voltage In The Milky Night,Stereolab,267000,1383
Blister In The Sun,Violent Femmes,Violent Femmes,144351,294
Blitzkrieg Bop,Loud Fast,The Ramones,133120,518
Blood Sugar Sex Magik,Blood Sugar Sex Magik,Red Hot Chili Peppers,269932,777
Blow Your Mind,High Times: Singles 1992-2006,Jamiroquai,235047,430
Blue Alert,Half The Perfect World,Madeleine Peyroux,250000,2351
Blue Blood Blues,Sea Of Cowards,The Dead Weather,202000,2418
Blue Casket Bop,Grim Fandango,Peter McConnell,69940,2084
Blue Eye Smile Girl,Sans Soucie,Halou,268164,1347
Blue In Green,Kind Of Blue,Miles Davis,337159,1452
Blue Orchid,Get Behind Me Satan,The White Stripes,157000,2063
Blue Rondo A La Turk,Time Out,Dave Brubeck Quartet,403598,990
Blue-Eyed Pop,Life&#39;s Too Good,Sugarcubes,156472,1287
Blueeyed Devil,Ruby Vroom,Soul Coughing,252314,732
